2021-05-10 18:40:42,057:INFO:[Rank-0] args : Namespace(batch=384, dataset='cifar100', epochs=100, lr=0.01, rank=0, train_type='proposal', world=4)
2021-05-10 18:41:02,313:INFO:[Rank-0] step time 2.2271, epoch   0, step   1/131, loss 4.82975435, auc@1 0.00, auc@5 5.21, share 1, std_loss 0.07506591826677322,  4.82975 4.64664 4.73645 4.75117
2021-05-10 18:41:02,894:INFO:[Rank-0] step time 0.5795, epoch   0, step   2/131, loss 11.58336473, auc@1 0.52, auc@5 4.69, share 2, std_loss 0.629752192646265,  11.58336 11.10877 8.87659 10.72465
2021-05-10 18:41:03,274:INFO:[Rank-0] step time 0.3791, epoch   0, step   3/131, loss 10.86371533, auc@1 0.35, auc@5 5.56, share 2, std_loss 0.6958744749426842,  11.58336 11.10877 8.87659 10.72465
2021-05-10 18:41:03,825:INFO:[Rank-0] step time 0.5502, epoch   0, step   4/131, loss 10.11799288, auc@1 0.52, auc@5 4.95, share 3, std_loss 0.7584560830146074,  10.11799 11.43932 9.13607 10.09349
2021-05-10 18:41:04,207:INFO:[Rank-0] step time 0.3812, epoch   0, step   5/131, loss 9.24149780, auc@1 0.83, auc@5 6.46, share 3, std_loss 0.7667114868760109,  10.11799 11.43932 9.13607 10.09349
2021-05-10 18:41:04,764:INFO:[Rank-0] step time 0.5564, epoch   0, step   6/131, loss 9.24264924, auc@1 0.87, auc@5 6.60, share 4, std_loss 0.8216716560224692,  9.24265 10.78743 8.28805 10.19237
2021-05-10 18:41:05,299:INFO:[Rank-0] step time 0.5328, epoch   0, step   7/131, loss 8.76695183, auc@1 0.89, auc@5 6.40, share 5, std_loss 0.8621397454823766,  8.76695 10.76631 8.38221 10.02281
2021-05-10 18:41:05,676:INFO:[Rank-0] step time 0.3765, epoch   0, step   8/131, loss 8.70382357, auc@1 0.78, auc@5 6.64, share 5, std_loss 0.8711957121267915,  8.76695 10.76631 8.38221 10.02281
2021-05-10 18:41:06,066:INFO:[Rank-0] step time 0.3888, epoch   0, step   9/131, loss 8.69929441, auc@1 0.69, auc@5 6.37, share 5, std_loss 0.8556397035717964,  8.76695 10.76631 8.38221 10.02281
2021-05-10 18:41:06,474:INFO:[Rank-0] step time 0.4075, epoch   0, step  10/131, loss 8.63473101, auc@1 0.73, auc@5 6.04, share 5, std_loss 0.8171265311539173,  8.76695 10.76631 8.38221 10.02281
2021-05-10 18:41:06,851:INFO:[Rank-0] step time 0.3763, epoch   0, step  11/131, loss 8.57340661, auc@1 0.76, auc@5 5.87, share 5, std_loss 0.7727249352769419,  8.76695 10.76631 8.38221 10.02281
